Total number of initial group guesses: 100. 

1 Cost = 531.5463647556811
1 Group Members: 
[[ 3  0]
 [ 2  2]
 [ 1  1]
 [ 3  2]
 [ 3  1]
 [ 4 -1]
 [ 4  4]
 [ 4  2]
 [ 4  3]
 [ 4 -2]
 [ 3  3]
 [ 1  0]
 [ 4  1]
 [ 2  0]
 [ 4  0]] 

1 Group Paths: 
Initial State Final State                                       Path  Effective Pi-Time
       [3, 1]      [2, 0]                  ['[3, 1]', '0', '[2, 0]']         158.548094
       [3, 1]      [4, 0]                  ['[3, 1]', '0', '[4, 0]']         110.886524
      [4, -1]      [3, 0]                 ['[4, -1]', '0', '[3, 0]']         112.052613
      [4, -1]      [2, 2]                 ['[4, -1]', '1', '[2, 2]']         126.251486
      [4, -1]      [1, 1]                 ['[4, -1]', '0', '[1, 1]']         216.037174
      [4, -1]      [3, 2]                 ['[4, -1]', '1', '[3, 2]']          99.281936
      [4, -1]      [3, 1]                 ['[4, -1]', '0', '[3, 1]']          93.389226
      [4, -1]      [4, 4]  ['[4, -1]', '1', '[4, 2]', '2', '[4, 4]']         185.937328
      [4, -1]      [4, 2]                 ['[4, -1]', '1', '[4, 2]']          95.250328
      [4, -1]      [4, 3]  ['[4, -1]', '1', '[4, 2]', '2', '[4, 3]']         174.710128
      [4, -1]     [4, -2]                ['[4, -1]', '0', '[4, -2]']          79.480249
      [4, -1]      [3, 3]                 ['[4, -1]', '1', '[3, 3]']          93.211177
      [4, -1]      [1, 0]  ['[4, -1]', '1', '[4, 2]', '2', '[1, 0]']         263.695112
      [4, -1]      [4, 1]                 ['[4, -1]', '1', '[4, 1]']          87.422116
      [4, -1]      [2, 0]                 ['[4, -1]', '0', '[2, 0]']         166.795861
      [4, -1]      [4, 0]                 ['[4, -1]', '1', '[4, 0]']          91.033287
       [4, 4]      [3, 0]                  ['[4, 4]', '2', '[3, 0]']         236.884305
       [4, 4]      [2, 2]                  ['[4, 4]', '2', '[2, 2]']         175.255235
       [4, 4]      [1, 1]   ['[4, 4]', '2', '[4, 2]', '1', '[1, 1]']         350.798606
       [4, 4]      [3, 2]   ['[4, 4]', '2', '[4, 2]', '1', '[3, 2]']         203.966364
       [4, 4]      [3, 1]   ['[4, 4]', '2', '[4, 0]', '0', '[3, 1]']         231.238751
       [4, 4]     [4, -1]  ['[4, 4]', '2', '[4, 2]', '1', '[4, -1]']         185.937328
       [4, 4]      [4, 2]                  ['[4, 4]', '2', '[4, 2]']          90.687000
       [4, 4]      [4, 3]                  ['[4, 4]', '2', '[4, 3]']          79.040600
       [4, 4]     [4, -2]  ['[4, 4]', '2', '[4, 0]', '0', '[4, -2]']         217.329774
       [4, 4]      [3, 3]   ['[4, 4]', '2', '[4, 2]', '1', '[3, 3]']         197.895606
       [4, 4]      [1, 0]                  ['[4, 4]', '2', '[1, 0]']         168.025584
       [4, 4]      [4, 1]                  ['[4, 4]', '2', '[4, 1]']         113.869684
       [4, 4]      [2, 0]                  ['[4, 4]', '2', '[2, 0]']         118.968717
       [4, 4]      [4, 0]                  ['[4, 4]', '2', '[4, 0]']         120.352226
       [4, 2]      [3, 0]  ['[4, 2]', '1', '[4, -1]', '0', '[3, 0]']         207.302942
       [4, 2]      [2, 2]                  ['[4, 2]', '1', '[2, 2]']         140.248914
       [4, 2]      [1, 1]                  ['[4, 2]', '1', '[1, 1]']         260.111606
       [4, 2]      [3, 2]                  ['[4, 2]', '1', '[3, 2]']         113.279364
       [4, 2]      [3, 1]  ['[4, 2]', '1', '[4, -1]', '0', '[3, 1]']         188.639554
       [4, 2]     [4, -1]                 ['[4, 2]', '1', '[4, -1]']          95.250328
       [4, 2]      [4, 4]                  ['[4, 2]', '2', '[4, 4]']          90.687000
       [4, 2]      [4, 3]                  ['[4, 2]', '2', '[4, 3]']          79.459800
       [4, 2]     [4, -2] ['[4, 2]', '1', '[4, -1]', '0', '[4, -2]']         174.730577
       [4, 2]      [3, 3]                  ['[4, 2]', '1', '[3, 3]']         107.208606
       [4, 2]      [1, 0]                  ['[4, 2]', '2', '[1, 0]']         168.444784
       [4, 2]      [4, 1]                  ['[4, 2]', '1', '[4, 1]']         101.419544
