620.709854, 25.322, [-2, 4, -4]
623.351318, 18.439, [-1, 4, -3]
622.817872, 31.018, [0, 4, -2]
604.070316, 24.221, [2, 4, 3]
613.453688, 76.365, [-2, 3, -3]
621.670185, 28.731, [1, 4, -1]
597.192976, 33.598, [2, 4, 4]
599.328804, 41.122, [0, 3, 1]
605.804489, 44.307, [-1, 3, -1]
609.875455, 64.446, [2, 4, 2]
612.239714, 33.81, [1, 4, 1]
600.983994, 36.446, [-1, 3, 0]
607.942382, 569.394, [-2, 3, -2]
593.929137, 46.628, [1, 3, 3]
617.146425, 39.249, [1, 4, 0]
618.728617, 42.358, [0, 4, -1]
606.936148, 70.776, [1, 4, 2]
597.917296, 47.605, [1, 3, 2]
603.926983, 69.482, [0, 3, 0]
594.976631, 62.243, [0, 3, 2]
610.888078, 56.023, [-1, 3, -2]
554.924475, 1771.209, [1, 2, -1]
