545.847769, 111.404, [0, 2, 0]
623.662257, 24.362, [-1, 4, -3]
621.012298, 20.459, [-2, 4, -4]
621.012249, 20.884, [-2, 4, -4]
621.012082, 20.848, [-2, 4, -4]
621.012181, 21.295, [-2, 4, -4]
621.012573, 21.195, [-2, 4, -4]
621.012351, 21.254, [-2, 4, -4]
621.012348, 20.394, [-2, 4, -4]
621.012496, 20.378, [-2, 4, -4]
621.012569, 20.798, [-2, 4, -4]
621.012794, 19.703, [-2, 4, -4]
621.012483, 21.169, [-2, 4, -4]
621.012428, 21.414, [-2, 4, -4]
621.012974, 20.935, [-2, 4, -4]
621.012784, 20.708, [-2, 4, -4]
621.012781, 20.84, [-2, 4, -4]
621.0126, 20.354, [-2, 4, -4]
621.013078, 20.285, [-2, 4, -4]
621.01303, 20.545, [-2, 4, -4]
621.013225, 19.812, [-2, 4, -4]
621.013092, 20.058, [-2, 4, -4]
