Decay Time,Decay Time Error,States
256438.49361216946,11621.159978683494,"[[0, 3, 2], [0, 2, 2]]"
32398.462119297572,10897.344809558153,"[[0, 4, -1], [0, 2, -2]]"
17235.599089914936,866.1561918924115,"[[0, 3, 1], [0, 3, 2]]"
7439.120926068972,2619.1840553346824,"[[0, 3, 1], [0, 2, 0]]"
6219.710875818023,4604.503567020743,"[[0, 2, 0], [0, 2, 2]]"
3290.1180699458537,1728.8330453755593,"[[0, 4, 0], [0, 3, 2]]"
3020.218151124335,575.4886867299248,"[[0, 4, -1], [0, 3, 2]]"
4080.4319415691275,752.0924363366221,"[[0, 4, -2], [0, 2, 2]]"
