nan,2.517014920071047754e+02,1.734690909090909372e+02,2.066413872832370089e+02,3.224723753665689401e+02
1.881911553784860303e+02,3.878373983739837740e+02,1.117155000000000200e+03,3.272710714285714744e+02,1.281756535714285405e+02
1.800150943396226637e+02,1.793426086956521885e+02,2.339640000000000271e+02,2.021925802816901410e+02,nan
nan,nan,1.284750135992746891e+02,8.992271442035816165e+01,1.309485714285714266e+02
nan,1.113180989787902604e+02,3.469381818181818744e+02,1.749541272430668926e+02,1.120928440366972438e+02
1.456402261048304183e+02,1.502488188976378183e+02,1.166995429815016365e+02,4.262134883720930816e+02,7.701541416309011368e+01
8.203611349957007803e+01,3.816614946619217221e+02,1.912401391304347840e+02,6.708258504672896549e+01,nan
9.705599999999999739e+01,1.041317045454545536e+02,8.817981081081080674e+01,nan,nan
nan,nan,nan,5.037608958407393800e+01,1.048439560439560410e+03
nan,nan,6.193528846153845535e+01,6.159328599096190970e+01,2.584262168674698614e+02
nan,9.341327620303229651e+01,4.468758782201405921e+01,1.538692682926829320e+02,2.465539910313901544e+02
1.857246920052424457e+02,4.751394422310757193e+01,6.160073520964962768e+01,3.665436000000000149e+03,1.999397381615598590e+02
6.979370885149964465e+01,4.561755848575074879e+01,1.422549547218629016e+02,1.840470923076922816e+02,nan
4.785670682730923886e+01,6.237270561542824510e+01,6.771543962264149741e+02,nan,nan
4.103099999999999881e+01,1.132150883280756943e+02,nan,nan,nan
nan,nan,nan,nan,4.322999999999999687e+01
nan,nan,nan,1.711448550724637698e+02,3.560000000000000142e+01
nan,nan,7.458312631578946821e+03,5.733653846153846700e+01,4.583200000000000074e+01
nan,5.668317599999999175e+02,1.405125184094256383e+02,4.707940298507462984e+01,7.220162836506895587e+01
6.108100862068965853e+02,9.540800000000001091e+03,6.874800000000000466e+01,5.294322580645161480e+01,7.844630163934425582e+01
3.087637540453074507e+02,1.808547723440134973e+02,5.338013592233010485e+01,4.237211688311688107e+01,nan
3.885756521739130562e+02,7.646945757997218607e+01,2.989519616826321879e+01,nan,nan
1.169819999999999936e+03,2.507979245283018344e+01,nan,nan,nan
2.189699999999999847e+01,nan,nan,nan,nan
