nan,4.579698284183359647e+02,4.609262466970972127e+02,4.638804946845702943e+02,4.668325771565887408e+02
4.671831920718150286e+02,4.701417854352748691e+02,4.730982037140361172e+02,4.760524517015091988e+02,4.790045341735276452e+02
4.797109637292019215e+02,4.826695570926617620e+02,4.856259753714230101e+02,4.885802233588960917e+02,nan
nan,nan,5.321311675920792368e+02,5.350854155795523184e+02,5.380374980515707648e+02
nan,5.359287665299648324e+02,5.388851848087260805e+02,5.418394327961991621e+02,5.447915152682176085e+02
5.395901983577787178e+02,5.425487917212385582e+02,5.455052099999998063e+02,5.484594579874728879e+02,5.514115404594913343e+02
5.460168263207006021e+02,5.489754196841604426e+02,5.519318379629212359e+02,5.548860859503947722e+02,nan
5.521524291148298289e+02,5.551110224782896694e+02,5.580674407570504627e+02,nan,nan
nan,nan,nan,5.938016216714850088e+02,5.967537041435034553e+02
nan,nan,5.948529689239198888e+02,5.978072169113929704e+02,6.007592993834114168e+02
nan,5.962664009899772282e+02,5.992228192687384762e+02,6.021770672562115578e+02,6.051291497282300043e+02
5.979243087288969036e+02,6.008829020923567441e+02,6.038393203711179922e+02,6.067935683585910738e+02,6.097456508306095202e+02
6.027635771964733067e+02,6.057221705599331472e+02,6.086785888386943952e+02,6.116328368261674768e+02,nan
6.078657525115886529e+02,6.108243458750484933e+02,6.137807641538097414e+02,nan,nan
6.133968267864088375e+02,6.163554201498686780e+02,nan,nan,nan
nan,nan,nan,nan,5.970746247947085976e+02
nan,nan,nan,6.010256774644822144e+02,6.039777599365006608e+02
nan,nan,6.038985996594128665e+02,6.068528476468859481e+02,6.098049301189043945e+02
nan,6.062658230830670618e+02,6.092222413618283099e+02,6.121764893493013915e+02,6.151285718213198379e+02
6.082336145557778764e+02,6.111922079192377169e+02,6.141486261979989649e+02,6.171028741854720465e+02,6.200549566574904929e+02
6.127748146146559520e+02,6.157334079781157925e+02,6.186898262568770406e+02,6.216440742443501222e+02,nan
6.168789973302355065e+02,6.198375906936953470e+02,6.227940089724565951e+02,nan,nan
6.203697218872803205e+02,6.233283152507401610e+02,nan,nan,nan
6.206778922541379870e+02,nan,nan,nan,nan
