9.988953379399424515e-01,9.990040514253677451e-01,9.991223126760443440e-01,9.989688394880626987e-01,9.990863294735645717e-01,9.991418409151534563e-01,9.990375152297007455e-01,9.991422043085356197e-01,9.991453914427678162e-01,9.990712603570683914e-01
9.988986163861708345e-01,9.990073298412595060e-01,9.991255910997411949e-01,9.989721194704844764e-01,9.990896098023500649e-01,9.991451217178342059e-01,9.990407973692378985e-01,9.991454865234842275e-01,9.991486736952145398e-01,9.990745431637338969e-01
9.988976769893658236e-01,9.990063838868663559e-01,9.991246379203331252e-01,9.989711775772646130e-01,9.990886609240303695e-01,9.991441704172628890e-01,9.990398540322588117e-01,9.991445365273260437e-01,9.991477241561566025e-01,9.990735981952837408e-01
9.989037000837301949e-01,9.990124164709592858e-01,9.991306809224926866e-01,9.989772057329376898e-01,9.990946992773831470e-01,9.991502126765561265e-01,9.990458858741462222e-01,9.991505777531853871e-01,9.991537649670370058e-01,9.990796326649671322e-01
9.988998645110367391e-01,9.990085761660283392e-01,9.991268353976585637e-01,9.989733671957460315e-01,9.990908555178399375e-01,9.991463665085897894e-01,9.990420444026018032e-01,9.991467314886064432e-01,9.991499186156830303e-01,9.990757894740690537e-01
9.988954898405150162e-01,9.990041973964403077e-01,9.991224520778965168e-01,9.989689892335660293e-01,9.990864728678232609e-01,9.991419816308706459e-01,9.990376630357233889e-01,9.991423459310715405e-01,9.991455330360862197e-01,9.990714063341860074e-01
9.988974207694756302e-01,9.990061366885917282e-01,9.991244005194815925e-01,9.989709225395839720e-01,9.990884149907626188e-01,9.991439266727779600e-01,9.990395973711895250e-01,9.991442887241763771e-01,9.991474751484145100e-01,9.990733422734212610e-01
9.988899029171469657e-01,9.989986098281185001e-01,9.991168636822869153e-01,9.989633973904332720e-01,9.990808799679482544e-01,9.991363872868627150e-01,9.990320660760397820e-01,9.991367486504562079e-01,9.991399349970316868e-01,9.990658073620927171e-01
9.988871542668840142e-01,9.989958608258289185e-01,9.991141142096527927e-01,9.989606453291766108e-01,9.990781274054560956e-01,9.991336339095064911e-01,9.990293108741877814e-01,9.991339934364388276e-01,9.991371792162053733e-01,9.990630508088774731e-01
9.988862453306764921e-01,9.989949567070551817e-01,9.991132152924815379e-01,9.989597353906235488e-01,9.990772223929482720e-01,9.991327301698801344e-01,9.990283993480562064e-01,9.991330869837850015e-01,9.991362720789267460e-01,9.990621392866787520e-01
