Initial State Final State                                Path  Effective Pi-Time
      [2, -2]          -2                       [[2, -2], -2]          97.056000
       [3, 0]     [4, -2]                [[3, 0], 0, [4, -2]]          91.495931
       [1, 1]     [2, -1]                [[1, 1], 1, [2, -1]]         273.723972
       [1, 0]     [1, -1]               [[1, 0], -2, [1, -1]]         368.206250
      [2, -2]          -1                       [[2, -2], -1]         104.131705
       [1, 1]     [2, -2]                [[1, 1], 0, [2, -2]]         261.648902
       [3, 0]     [4, -1]                [[3, 0], 0, [4, -1]]         114.980871
      [1, -1]      [2, 1]               [[1, -1], -1, [2, 1]]         290.660708
      [2, -2]           0                        [[2, -2], 0]          88.179811
       [3, 0]      [4, 0]                 [[3, 0], 0, [4, 0]]         130.348735
      [2, -2]           1           [[2, -2], -2, [2, -1], 1]         246.174699
       [3, 0]      [4, 1]                 [[3, 0], 0, [4, 1]]         202.113254
       [1, 0]      [3, 2]                 [[1, 0], 2, [3, 2]]         386.601870
       [1, 1]      [3, 3]                 [[1, 1], 1, [3, 3]]         257.017477
      [2, -2]           2             [[2, -2], 0, [2, 0], 2]         281.894768
       [1, 1]      [3, 0]                 [[1, 1], 0, [3, 0]]         235.069826
       [3, 0]      [4, 2]                 [[3, 0], 2, [4, 2]]         245.771738
      [2, -2]     [4, -4]              [[2, -2], -2, [4, -4]]         118.953000
       [1, 0]      [4, 3]                 [[1, 0], 2, [4, 3]]         163.775654
       [1, 1]      [2, 2]                 [[1, 1], 1, [2, 2]]         296.564102
       [3, 0]      [4, 3]                 [[3, 0], 2, [4, 3]]         235.539738
       [1, 0]           1                         [[1, 0], 1]         327.271071
       [1, 1]     [4, -4]   [[1, 1], 0, [2, -2], -2, [4, -4]]         380.601902
       [1, 1]           0                         [[1, 1], 0]         173.469091
      [2, -2]     [4, -3]              [[2, -2], -1, [4, -3]]         129.211497
       [3, 0]      [4, 4]                 [[3, 0], 2, [4, 4]]         243.169738
       [1, 1]           2              [[1, 1], 0, [4, 0], 2]         320.663393
      [2, -2]     [4, -2]               [[2, -2], 0, [4, -2]]         118.075007
       [3, 0]     [3, -3]               [[3, 0], -1, [3, -3]]         160.729033
      [1, -1]      [3, 0]               [[1, -1], -1, [3, 0]]         226.856553
       [1, 1]          -2            [[1, 1], 0, [2, -2], -2]         358.704902
      [2, -2]     [4, -1]               [[2, -2], 0, [4, -1]]         141.559947
       [3, 0]     [3, -2]               [[3, 0], -1, [3, -2]]         109.886650
       [1, 0]          -1           [[1, 0], -2, [3, -2], -1]         298.420568
