Initial State Final State                                Path  Effective Pi-Time
      [2, -1]      [3, 1]                [[2, -1], 1, [3, 1]]         220.951853
      [3, -3]     [4, -2]              [[3, -3], -1, [4, -2]]         189.684546
      [3, -1]      [4, 3]    [[3, -1], -1, [2, 1], 2, [4, 3]]         304.628502
       [2, 2]      [3, 0]                 [[2, 2], 0, [3, 0]]         190.075749
       [3, 1]      [4, 4]      [[3, 1], 0, [4, 0], 2, [4, 4]]         235.111889
      [2, -1]      [3, 2]                [[2, -1], 1, [3, 2]]         128.675871
      [3, -3]     [4, -1]  [[3, -3], -2, [2, -1], 1, [4, -1]]         232.521815
      [3, -1]      [4, 4]    [[3, -1], -1, [2, 1], 2, [4, 4]]         312.258502
       [2, 2]      [3, 1]                 [[2, 2], 0, [3, 1]]         173.162601
       [3, 1]     [3, -3]               [[3, 1], -1, [3, -3]]         206.628365
      [2, -1]      [3, 3]                [[2, -1], 1, [3, 3]]         117.458675
      [3, -3]      [4, 0]   [[3, -3], -2, [2, -1], 1, [4, 0]]         243.092924
      [3, -1]     [3, -3]              [[3, -1], -2, [3, -3]]         110.824709
       [2, 2]      [3, 2]                 [[2, 2], 1, [3, 2]]         151.516000
      [2, -1]     [2, -2]              [[2, -1], -2, [2, -2]]         179.092113
       [3, 1]     [3, -2]               [[3, 1], -1, [3, -2]]         155.785982
      [3, -3]      [4, 1]   [[3, -3], -2, [2, -1], 1, [4, 1]]         237.229102
      [3, -1]     [3, -2]              [[3, -1], -1, [3, -2]]         107.990264
       [2, 2]      [3, 3]                 [[2, 2], 1, [3, 3]]         140.298804
       [3, 1]     [3, -1]               [[3, 1], -1, [3, -1]]         139.030835
       [2, 0]          -2                        [[2, 0], -2]         145.640226
      [3, -3]      [4, 2]   [[3, -3], -2, [2, -1], 1, [4, 2]]         247.486237
       [3, 0]          -2           [[3, 0], -1, [3, -2], -2]         157.743357
       [2, 2]     [2, -2]                [[2, 2], 0, [2, -2]]         216.654824
       [2, 0]          -1                        [[2, 0], -1]         150.248819
       [3, 1]      [3, 0]                 [[3, 1], 0, [3, 0]]         106.288323
      [3, -3]      [4, 3]    [[3, -3], -2, [2, 0], 2, [4, 3]]         299.286640
       [3, 0]          -1                        [[3, 0], -1]          47.513944
       [2, 2]     [2, -1]                [[2, 2], 1, [2, -1]]         157.005299
       [2, 0]           0                         [[2, 0], 0]         116.699543
       [3, 2]          -2            [[3, 2], 1, [2, -1], -2]         210.711985
       [3, 0]           0                         [[3, 0], 0]          61.600735
      [3, -3]      [4, 4]    [[3, -3], -2, [2, 0], 2, [4, 4]]         306.916640
      [4, -3]     [4, -4] [[4, -3], -1, [3, -2], -2, [4, -4]]         157.206205
