Initial State,Final State,Path,Effective Pi-Time
"[1, -1]",0,"['[1, -1]', '0']",233.96400000000003
"[1, -1]",2,"['[1, -1]', '1', '[4, 2]', '2']",305.3611187432286
"[1, -1]",-1,"['[1, -1]', '-1']",179.3426086956522
"[1, -1]",1,"['[1, -1]', '1']",202.19258028169014
"[1, -1]","[4, -2]","['[1, -1]', '-1', '[4, -2]']",255.81206627562437
"[1, -1]","[4, 4]","['[1, -1]', '1', '[4, 2]', '2', '[4, 4]']",348.5911187432286
"[1, -1]",-2,"['[1, -1]', '-2']",180.01509433962266
"[2, 2]","[2, 1]","['[2, 2]', '2', '[2, 1]']",243.04141546526867
"[2, 2]","[2, 0]","['[2, 2]', '2', '[2, 0]']",207.96398559166153
"[1, -1]","[4, -3]","['[1, -1]', '-1', '[4, -3]']",204.42240114848238
"[2, 2]","[3, 1]","['[2, 2]', '0', '[3, 1]']",173.16260142128874
"[2, 2]","[2, -1]","['[2, 2]', '1', '[2, -1]']",157.00529946708713
"[2, 2]","[3, 0]","['[2, 2]', '0', '[3, 0]']",190.07574880892432
"[2, 2]","[2, -2]","['[2, 2]', '0', '[2, -2]']",216.6548244100855
"[2, 2]","[3, 2]","['[2, 2]', '1', '[3, 2]']",151.51600041132008
"[2, 2]","[3, -1]","['[2, 2]', '0', '[3, -1]']",270.72996832113756
"[2, 2]","[3, 3]","['[2, 2]', '1', '[3, 3]']",140.2988040044321
"[2, 2]","[3, -2]","['[2, 2]', '1', '[2, -1]', '-2', '[3, -2]']",286.89811979396643
"[2, 2]","[3, -3]","['[2, 2]', '1', '[2, -1]', '-2', '[3, -3]']",280.0724129666572
"[2, 2]","[4, 1]","['[2, 2]', '1', '[4, 1]']",137.00211740543278
"[2, 2]","[4, 0]","['[2, 2]', '1', '[4, 0]']",142.86594022680978
"[2, 2]","[4, 2]","['[2, 2]', '1', '[4, 2]']",147.25925288189663
"[2, 2]","[4, -1]","['[2, 2]', '1', '[4, -1]']",132.29483130347504
"[2, 2]",1,"['[2, 2]', '1']",89.92271442035816
"[2, 2]","[4, -2]","['[2, 2]', '0', '[4, -2]']",158.37020976753792
"[2, 2]",2,"['[2, 2]', '2']",130.94857142857143
"[2, 2]","[4, 3]","['[2, 2]', '2', '[4, 3]']",166.54857142857142
"[2, 2]",0,"['[2, 2]', '0']",128.4750135992747
"[2, 2]","[4, -3]","['[2, 2]', '0', '[4, -2]', '-1', '[4, -3]']",259.9194598003403
"[2, 2]",-1,"['[2, 2]', '0', '[4, -2]', '-1']",234.8396673475101
"[2, 2]",-2,"['[2, 2]', '1', '[2, -1]', '-2']",239.04141296665722
"[2, 1]","[2, 0]","['[2, 1]', '2', '[2, 0]']",189.10825819978737
"[2, 2]","[4, -4]","['[2, 2]', '1', '[2, -1]', '-2', '[4, -4]']",260.9384129666572
"[2, 1]","[3, 1]","['[2, 1]', '-1', '[3, 1]']",204.73137518182256
"[2, 1]","[2, -1]","['[2, 1]', '1', '[2, -1]']",242.03671228979584
"[2, 1]","[3, 0]","['[2, 1]', '-1', '[3, 0]']",158.83204320189782
"[2, 1]","[3, -1]","['[2, 1]', '-1', '[3, -1]']",156.935657464541
"[2, 1]","[3, 3]","['[2, 1]', '1', '[3, 3]']",225.33021682714082
"[2, 1]","[3, 2]","['[2, 1]', '1', '[3, 2]']",236.5474132340288
"[2, 1]","[2, -2]","['[2, 1]', '-1', '[2, -2]']",215.44980352424483
"[2, 1]","[3, -2]","['[2, 1]', '-1', '[3, -2]']",173.6908045942185
"[2, 1]","[4, 0]","['[2, 1]', '2', '[4, 0]']",190.5391456760415
"[2, 1]","[4, 1]","['[2, 1]', '2', '[4, 1]']",184.2944724017662
"[2, 1]","[4, -1]","['[2, 1]', '1', '[4, -1]']",217.32624412618378
"[2, 1]","[3, -3]","['[2, 1]', '-1', '[3, -3]']",224.53318730686595
"[2, 1]","[4, 2]","['[2, 1]', '2', '[4, 2]']",157.92484403669724
"[2, 1]","[4, 3]","['[2, 1]', '2', '[4, 3]']",147.69284403669724
"[2, 1]","[4, -2]","['[2, 1]', '-1', '[4, -2]']",187.78755655876245
"[2, 1]",1,"['[2, 1]', '1']",174.9541272430669
"[2, 1]",-1,"['[2, 1]', '-1']",111.31809897879026
"[2, 1]",0,"['[2, 1]', '-1', '[4, -2]', '0']",217.68275272702567
"[2, 1]",-2,"['[2, 1]', '-1', '[3, -2]', '-2']",221.54751142152773
"[2, 1]",2,"['[2, 1]', '2']",112.09284403669724
"[2, 1]","[4, -3]","['[2, 1]', '-1', '[4, -3]']",136.39789143162045
"[2, 0]","[2, -1]","['[2, 0]', '-2', '[2, -1]']",227.67633960440048
"[2, 1]","[4, -4]","['[2, 1]', '-1', '[3, -2]', '-2', '[4, -4]']",243.44451142152772
"[2, 0]","[3, 0]","['[2, 0]', '0', '[3, 0]']",178.30027819115128
"[2, 0]","[3, 3]","['[2, 0]', '2', '[4, 2]', '1', '[3, 3]']",230.56004220870255
"[2, 0]","[3, 2]","['[2, 0]', '0', '[3, 2]']",178.6348314430401
"[2, 0]","[3, 1]","['[2, 0]', '0', '[3, 1]']",161.3871308035157
"[2, 0]","[2, -2]","['[2, 0]', '0', '[2, -2]']",204.87935379231243
"[2, 0]","[3, -1]","['[2, 0]', '-1', '[3, -1]']",195.86637738338857
"[2, 0]","[3, -2]","['[2, 0]', '-2', '[3, -2]']",193.49693293213966
"[2, 2]","[4, 4]","['[2, 2]', '2', '[4, 4]']",174.17857142857142
"[2, 0]","[4, 1]","['[2, 0]', '2', '[4, 1]']",149.21704252815908
"[2, 0]","[4, 2]","['[2, 0]', '2', '[4, 2]']",122.84741416309012
"[2, 0]","[4, -1]","['[2, 0]', '0', '[4, -1]']",170.07967890383173
"[2, 0]","[4, 0]","['[2, 0]', '2', '[4, 0]']",155.46171580243436
"[2, 0]","[4, 3]","['[2, 0]', '2', '[4, 3]']",112.61541416309012
"[2, 0]",2,"['[2, 0]', '2']",77.01541416309011
"[2, 0]","[4, 4]","['[2, 0]', '2', '[4, 4]']",120.24541416309012
"[2, 0]",0,"['[2, 0]', '0']",116.69954298150164
"[2, 0]","[3, -3]","['[2, 0]', '-2', '[3, -3]']",186.67122610483042
"[2, 0]",1,"['[2, 0]', '2', '[4, 2]', '1']",180.1839526246286
"[2, 0]",-1,"['[2, 0]', '-1']",150.24881889763782
"[1, -1]","[4, -4]","['[1, -1]', '-2', '[4, -4]']",201.91209433962266
"[2, 0]",-2,"['[2, 0]', '-2']",145.64022610483042
"[2, 0]","[4, -2]","['[2, 0]', '0', '[4, -2]']",146.59473914976485
"[2, -1]","[3, 1]","['[2, -1]', '1', '[4, -1]', '0', '[3, 1]']",207.52242567419
"[2, 0]","[4, -3]","['[2, 0]', '-1', '[4, -3]']",175.328611350468
"[2, -1]","[3, 2]","['[2, -1]', '1', '[3, 2]']",128.67587103769088
"[2, -1]","[3, 0]","['[2, -1]', '1', '[4, -1]', '0', '[3, 0]']",224.43557306182558
"[2, -1]","[2, -2]","['[2, -1]', '-2', '[2, -2]']",179.09211349957008
"[2, -1]","[3, 3]","['[2, -1]', '1', '[3, 3]']",117.4586746308029
"[2, -1]","[3, -1]","['[2, -1]', '-2', '[3, -1]']",151.8298223510697
"[2, 0]","[4, -4]","['[2, 0]', '-2', '[4, -4]']",167.5372261048304
"[2, -1]","[3, -2]","['[2, -1]', '-2', '[3, -2]']",129.8928203268793
"[2, -1]","[4, 0]","['[2, -1]', '1', '[4, 0]']",120.02581085318059
"[2, -1]","[4, -1]","['[2, -1]', '1', '[4, -1]']",109.45470192984584
"[2, -1]","[4, 2]","['[2, -1]', '1', '[4, 2]']",124.41912350826743
"[2, -1]","[4, 1]","['[2, -1]', '1', '[4, 1]']",114.16198803180359
"[2, -1]","[3, -3]","['[2, -1]', '-2', '[3, -3]']",123.06711349957007
"[2, -1]","[4, 3]","['[2, -1]', '1', '[4, 2]', '2', '[4, 3]']",205.85112350826742
"[2, -1]",2,"['[2, -1]', '1', '[4, 2]', '2']",170.25112350826743
"[2, -1]",1,"['[2, -1]', '1']",67.08258504672897
"[2, -1]","[4, 4]","['[2, -1]', '1', '[4, 2]', '2', '[4, 4]']",213.48112350826742
"[2, -1]",0,"['[2, -1]', '1', '[4, -1]', '0']",162.83483785217595
"[2, -1]",-1,"['[2, -1]', '-2', '[3, -2]', '-1']",192.26552594230753
"[2, -1]","[4, -2]","['[2, -1]', '1', '[4, -1]', '0', '[4, -2]']",192.73003402043918
"[2, 1]","[4, 4]","['[2, 1]', '2', '[4, 4]']",155.32284403669723
"[2, -1]","[4, -3]","['[2, -1]', '-2', '[3, -2]', '-1', '[4, -3]']",217.34531839513772
"[2, -1]",-2,"['[2, -1]', '-2']",82.03611349957008
"[2, -2]","[3, 0]","['[2, -2]', '0', '[3, 0]']",149.78054602046043
"[2, -2]","[3, 2]","['[2, -2]', '0', '[3, 2]']",150.11509927234925
"[2, -2]","[3, 1]","['[2, -2]', '0', '[3, 1]']",132.86739863282486
"[2, -2]","[3, 3]","['[2, -2]', '0', '[4, -1]', '1', '[3, 3]']",234.30815320033173
"[2, -2]","[3, -1]","['[2, -2]', '-1', '[3, -1]']",149.74926303120532
"[2, -2]","[3, -2]","['[2, -2]', '-2', '[3, -2]']",144.91270682730925
"[2, -2]","[4, 3]","['[2, -2]', '0', '[4, 0]', '2', '[4, 3]']",270.9741124501551
"[2, -2]","[4, 2]","['[2, -2]', '0', '[4, -1]', '1', '[4, 2]']",241.2686020777963
"[2, -2]","[3, -3]","['[2, -2]', '-2', '[3, -3]']",138.087
"[2, -2]","[4, 1]","['[2, -2]', '0', '[4, 1]']",228.69232922023645
"[2, -2]","[4, 0]","['[2, -2]', '0', '[4, 0]']",156.9278108108108
"[2, -2]",0,"['[2, -2]', '0']",88.1798108108108
"[2, -2]",1,"['[2, -2]', '0', '[4, -1]', '1']",183.9320636162578
"[2, -2]","[4, 4]","['[2, -2]', '0', '[4, 0]', '2', '[4, 4]']",278.60411245015507
"[2, -2]",2,"['[2, -2]', '0', '[4, 0]', '2']",235.37411245015505
"[2, -2]","[4, -1]","['[2, -2]', '0', '[4, -1]']",141.55994673314092
"[2, -2]",-1,"['[2, -2]', '-1']",104.13170454545455
"[2, -2]",-2,"['[2, -2]', '-2']",97.056
"[2, -2]","[4, -3]","['[2, -2]', '-1', '[4, -3]']",129.21149699828473
"[2, -2]","[4, -2]","['[2, -2]', '0', '[4, -2]']",118.07500697907403
"[3, 3]","[3, 1]","['[3, 3]', '1', '[4, -1]', '0', '[3, 1]']",190.81593021153498
"[3, 3]","[3, 0]","['[3, 3]', '1', '[4, -1]', '0', '[3, 0]']",207.72907759917055
"[3, 3]","[3, -1]","['[3, 3]', '1', '[3, -1]']",234.4231818917662
"[3, 3]","[3, 2]","['[3, 3]', '1', '[3, 2]']",111.96937557503585
"[3, 3]","[3, -2]","['[3, 3]', '1', '[2, -1]', '-2', '[3, -2]']",247.3514949576822
"[3, 3]","[3, -3]","['[3, 3]', '1', '[2, -1]', '-2', '[3, -3]']",240.52578813037297
"[3, 3]","[4, 0]","['[3, 3]', '1', '[4, 0]']",103.31931539052556
"[3, 3]","[4, 1]","['[3, 3]', '1', '[4, 1]']",97.45549256914856
"[3, 3]","[4, 2]","['[3, 3]', '1', '[4, 2]']",107.7126280456124
"[3, 3]","[4, -1]","['[3, 3]', '1', '[4, -1]']",92.74820646719081
"[3, 3]","[4, -2]","['[3, 3]', '1', '[4, -1]', '0', '[4, -2]']",176.02353855778415
"[3, 3]",1,"['[3, 3]', '1']",50.37608958407394
"[3, 3]",0,"['[3, 3]', '1', '[4, -1]', '0']",146.12834238952092
"[3, 3]",2,"['[3, 3]', '1', '[4, 2]', '2']",153.5446280456124
"[3, 3]",-1,"['[3, 3]', '1', '[4, -1]', '0', '[4, -2]', '-1']",252.49299613775634
"[3, 3]","[4, -3]","['[3, 3]', '1', '[4, -1]', '0', '[4, -2]', '-1', '[4, -3]']",277.5727885905865
