Initial State Final State                                          Path  Effective Pi-Time
      [3, -2]      [1, 0]                         [[3, -2], -2, [1, 0]]         244.166550
      [3, -2]     [1, -1]                        [[3, -2], -2, [1, -1]]         218.998910
       [3, 0]      [4, 0]                           [[3, 0], 0, [4, 0]]         129.549912
      [3, -1]      [3, 0]                         [[3, -1], -1, [3, 0]]          90.583084
      [3, -1]     [3, -2]                        [[3, -1], -1, [3, -2]]         104.714826
      [3, -2]     [2, -1]                        [[3, -2], -2, [2, -1]]         125.726711
      [3, -2]     [2, -2]                        [[3, -2], -2, [2, -2]]         144.018912
      [3, -1]      [1, 1]                          [[3, -1], 0, [1, 1]]         300.703796
      [3, -1]     [4, -3]                        [[3, -1], -1, [4, -3]]          69.382029
      [3, -2]      [2, 1]                         [[3, -2], -1, [2, 1]]         175.569455
      [3, -2]      [2, 0]                         [[3, -2], -2, [2, 0]]         199.595682
      [3, -1]      [1, 0]                         [[3, -1], -2, [1, 0]]         263.097229
      [3, -2]     [3, -3]                        [[3, -2], -2, [3, -3]]          86.626239
      [3, -1]      [3, 3]                          [[3, -1], 1, [3, 3]]         229.184259
      [3, -2]      [3, 1]                         [[3, -2], -1, [3, 1]]         156.912719
      [3, -2]      [3, 2]             [[3, -2], -1, [4, -2], 0, [3, 2]]         225.484121
       [3, 0]      [3, 3]               [[3, 0], 0, [4, -1], 1, [3, 3]]         205.263790
      [3, -2]      [4, 0]             [[3, -2], -1, [4, -2], 0, [4, 0]]         229.142001
      [3, -2]      [4, 1]             [[3, -2], -2, [2, -1], 1, [4, 1]]         236.854809
      [3, -2]      [3, 0]                         [[3, -2], -1, [3, 0]]         104.639291
      [3, -2]     [4, -2]                        [[3, -2], -1, [4, -2]]         132.164454
      [3, -2]     [4, -4]                        [[3, -2], -2, [4, -4]]          68.567339
      [3, -2]     [3, -1]                        [[3, -2], -1, [3, -1]]         104.714826
      [3, -2]      [1, 1]                         [[3, -2], -1, [1, 1]]         321.960096
      [3, -2]           0                     [[3, -2], -1, [4, -2], 0]         160.826206
      [3, -2]          -1                                 [[3, -2], -1]          59.385516
      [3, -2]          -2                                 [[3, -2], -2]          47.569139
      [3, -2]     [4, -3]                        [[3, -2], -1, [4, -3]]          83.438235
      [3, -3]      [1, 0]                         [[3, -3], -2, [1, 0]]         235.654511
      [3, -1]      [4, 4]              [[3, -1], -1, [2, 0], 2, [4, 4]]         307.332457
      [3, -2]     [4, -1]            [[3, -2], -1, [4, -2], 0, [4, -1]]         211.644703
      [3, -3]      [2, 1]                         [[3, -3], -1, [2, 1]]         224.738688
      [3, -2]           1                     [[3, -2], -2, [2, -1], 1]         190.059143
      [3, -3]     [1, -1]                        [[3, -3], -2, [1, -1]]         210.486871
      [3, -3]     [2, -2]                        [[3, -3], -2, [2, -2]]         135.506873
      [3, -2]           2                      [[3, -2], -2, [2, 0], 2]         273.430500
      [3, -3]      [2, 0]                         [[3, -3], -2, [2, 0]]         191.083643
      [3, -3]     [2, -1]                        [[3, -3], -2, [2, -1]]         117.214672
      [3, -3]      [3, 0]                         [[3, -3], -1, [3, 0]]         153.808524
      [3, -3]     [3, -1]                        [[3, -3], -2, [3, -1]]         105.556918
      [3, -3]     [3, -2]                        [[3, -3], -2, [3, -2]]          86.626239
      [3, -3]      [3, 1]                         [[3, -3], -1, [3, 1]]         206.081952
      [3, -2]      [4, 4]              [[3, -2], -2, [2, 0], 2, [4, 4]]         318.564400
      [3, -2]      [4, 2]             [[3, -2], -2, [2, -1], 1, [4, 2]]         244.683022
      [3, -3]      [2, 2]             [[3, -3], -2, [2, -1], 1, [2, 2]]         267.172140
      [3, -2]      [3, 3]             [[3, -2], -2, [2, -1], 1, [3, 3]]         242.643871
      [3, -2]      [4, 3]              [[3, -2], -2, [2, 0], 2, [4, 3]]         307.337200
      [3, -2]      [2, 2]             [[3, -2], -2, [2, -1], 1, [2, 2]]         275.684179
      [3, -3]     [4, -3]                        [[3, -3], -1, [4, -3]]         132.607468
      [3, -3]     [4, -4]                        [[3, -3], -2, [4, -4]]          60.055300
      [3, -3]     [4, -2]                        [[3, -3], -1, [4, -2]]         181.333687
      [3, -3]      [4, 1]             [[3, -3], -2, [2, -1], 1, [4, 1]]         228.342770
      [3, -3]      [4, 2]             [[3, -3], -2, [2, -1], 1, [4, 2]]         236.170982
      [3, -3]          -1                                 [[3, -3], -1]         108.554750
      [3, -3]          -2                                 [[3, -3], -2]          39.057100
      [3, -3]           2                      [[3, -3], -2, [2, 0], 2]         264.918460
       [4, 4]      [1, 0]                           [[4, 4], 2, [1, 0]]         168.025584
      [3, -3]     [4, -1]            [[3, -3], -2, [2, -1], 1, [4, -1]]         222.173554
       [4, 4]      [2, 2]                           [[4, 4], 2, [2, 2]]         175.255235
       [4, 4]      [2, 1]                           [[4, 4], 2, [2, 1]]         151.860043
       [4, 4]      [2, 0]                           [[4, 4], 2, [2, 0]]         118.968717
      [3, -3]           1                     [[3, -3], -2, [2, -1], 1]         181.547104
      [3, -3]      [3, 2]             [[3, -3], -2, [2, -1], 1, [3, 2]]         240.202590
      [3, -3]      [4, 4]              [[3, -3], -2, [2, 0], 2, [4, 4]]         310.052360
      [3, -3]           0                     [[3, -3], -1, [4, -2], 0]         209.995439
       [4, 4]      [3, 1]                [[4, 4], 2, [4, 0], 0, [3, 1]]         231.238751
      [3, -3]      [4, 0]             [[3, -3], -2, [2, -1], 1, [4, 0]]         231.953941
       [4, 4]      [1, 1]                [[4, 4], 2, [4, 2], 1, [1, 1]]         350.798606
      [3, -3]      [1, 1]                         [[3, -3], -1, [1, 1]]         371.129329
       [4, 4]      [3, 0]                           [[4, 4], 2, [3, 0]]         236.884305
       [4, 4]      [4, 3]                           [[4, 4], 2, [4, 3]]          79.040600
       [4, 4]      [4, 2]                           [[4, 4], 2, [4, 2]]          90.687000
       [4, 4]      [4, 1]                           [[4, 4], 2, [4, 1]]         113.869684
       [4, 4]      [4, 0]                           [[4, 4], 2, [4, 0]]         120.352226
       [4, 4]      [3, 2]                [[4, 4], 2, [4, 2], 1, [3, 2]]         203.966364
      [3, -3]      [4, 3]              [[3, -3], -2, [2, 0], 2, [4, 3]]         298.825160
       [4, 4]     [4, -2]               [[4, 4], 2, [4, 0], 0, [4, -2]]         217.329774
       [4, 4]     [4, -3]              [[4, 4], 2, [2, 0], -1, [4, -3]]         286.055866
       [4, 4]           2                                   [[4, 4], 2]          45.133900
       [4, 4]           1                        [[4, 4], 2, [4, 2], 1]         145.310878
       [4, 4]           0                        [[4, 4], 2, [4, 0], 0]         188.668022
       [4, 4]     [4, -1]               [[4, 4], 2, [4, 2], 1, [4, -1]]         185.937328
       [4, 4]     [2, -1]               [[4, 4], 2, [4, 2], 1, [2, -1]]         209.643310
      [3, -3]      [3, 3]             [[3, -3], -2, [2, -1], 1, [3, 3]]         234.131831
       [4, 3]      [1, 0]                           [[4, 3], 2, [1, 0]]         156.798384
       [4, 4]     [3, -1]              [[4, 4], 2, [2, 0], -1, [3, -1]]         307.332457
       [4, 3]      [2, 2]                           [[4, 3], 2, [2, 2]]         164.028035
       [4, 4]          -1                       [[4, 4], 2, [2, 0], -1]         262.003147
       [4, 4]     [4, -4]              [[4, 4], 2, [2, 0], -2, [4, -4]]         291.993460
       [4, 3]      [2, 0]                           [[4, 3], 2, [2, 0]]         107.741517
       [4, 4]      [3, 3]                [[4, 4], 2, [4, 2], 1, [3, 3]]         197.895606
       [4, 4]          -2                       [[4, 4], 2, [2, 0], -2]         270.995260
       [4, 4]     [3, -2]              [[4, 4], 2, [2, 0], -2, [3, -2]]         318.564400
       [4, 3]      [3, 3]                [[4, 3], 2, [4, 2], 1, [3, 3]]         186.668406
       [4, 3]     [2, -1]               [[4, 3], 2, [4, 2], 1, [2, -1]]         198.416110
       [4, 3]      [3, 1]                [[4, 3], 2, [4, 0], 0, [3, 1]]         220.011551
       [4, 4]     [3, -3]              [[4, 4], 2, [2, 0], -2, [3, -3]]         310.052360
       [4, 4]     [2, -2]               [[4, 4], 2, [4, 0], 0, [2, -2]]         273.245838
       [4, 3]      [4, 4]                           [[4, 3], 2, [4, 4]]          79.040600
       [4, 3]      [3, 0]                           [[4, 3], 2, [3, 0]]         225.657105
       [4, 3]      [1, 1]                [[4, 3], 2, [4, 2], 1, [1, 1]]         339.571406
       [4, 3]     [2, -2]               [[4, 3], 2, [4, 0], 0, [2, -2]]         262.018638
       [4, 3]      [4, 0]                           [[4, 3], 2, [4, 0]]         109.125026
       [4, 3]     [4, -1]               [[4, 3], 2, [4, 2], 1, [4, -1]]         174.710128
       [4, 3]      [4, 2]                           [[4, 3], 2, [4, 2]]          79.459800
       [4, 3]      [2, 1]                           [[4, 3], 2, [2, 1]]         140.632843
       [4, 3]           2                                   [[4, 3], 2]          33.906700
       [4, 3]           1                        [[4, 3], 2, [4, 2], 1]         134.083678
       [4, 4]     [1, -1]               [[4, 4], 2, [4, 2], 1, [1, -1]]         339.115289
       [4, 3]      [4, 1]                           [[4, 3], 2, [4, 1]]         102.642484
       [4, 3]     [3, -1]              [[4, 3], 2, [2, 0], -1, [3, -1]]         296.105257
       [4, 3]     [3, -3]              [[4, 3], 2, [2, 0], -2, [3, -3]]         298.825160
       [4, 2]      [1, 0]                           [[4, 2], 2, [1, 0]]         168.444784
       [4, 3]      [3, 2]                [[4, 3], 2, [4, 2], 1, [3, 2]]         192.739164
       [4, 3]           0                        [[4, 3], 2, [4, 0], 0]         177.440822
       [4, 3]          -2                       [[4, 3], 2, [2, 0], -2]         259.768060
       [4, 2]      [2, 0]                           [[4, 2], 2, [2, 0]]         119.387917
       [4, 2]     [1, -1]                          [[4, 2], 1, [1, -1]]         248.428289
       [4, 2]      [1, 1]                           [[4, 2], 1, [1, 1]]         260.111606
       [4, 2]      [3, 3]                           [[4, 2], 1, [3, 3]]         107.208606
       [4, 2]      [3, 2]                           [[4, 2], 1, [3, 2]]         113.279364
       [4, 3]     [1, -1]               [[4, 3], 2, [4, 2], 1, [1, -1]]         327.888089
       [4, 2]      [3, 1]               [[4, 2], 1, [4, -1], 0, [3, 1]]         188.639554
       [4, 2]      [2, 2]                           [[4, 2], 1, [2, 2]]         140.248914
       [4, 2]      [3, 0]               [[4, 2], 1, [4, -1], 0, [3, 0]]         207.302942
       [4, 2]      [2, 1]                           [[4, 2], 2, [2, 1]]         152.279243
       [4, 3]     [4, -2]               [[4, 3], 2, [4, 0], 0, [4, -2]]         206.102574
       [4, 3]          -1                       [[4, 3], 2, [2, 0], -1]         250.775947
       [4, 2]      [4, 3]                           [[4, 2], 2, [4, 3]]          79.459800
       [4, 2]     [2, -1]                          [[4, 2], 1, [2, -1]]         118.956310
       [4, 2]     [4, -1]                          [[4, 2], 1, [4, -1]]          95.250328
       [4, 3]     [3, -2]              [[4, 3], 2, [2, 0], -2, [3, -2]]         307.337200
       [4, 2]     [3, -1]                          [[4, 2], 1, [3, -1]]         231.223411
       [4, 3]     [4, -3]              [[4, 3], 2, [2, 0], -1, [4, -3]]         274.828666
       [4, 2]           2                                   [[4, 2], 2]          45.553100
       [4, 2]           1                                   [[4, 2], 1]          54.623878
       [4, 2]           0                       [[4, 2], 1, [4, -1], 0]         146.068825
       [4, 2]      [4, 4]                           [[4, 2], 2, [4, 4]]          90.687000
       [4, 2]      [4, 0]                           [[4, 2], 1, [4, 0]]         105.030715
       [4, 2]      [4, 1]                           [[4, 2], 1, [4, 1]]         101.419544
       [4, 2]     [2, -2]              [[4, 2], 1, [4, -1], 0, [2, -2]]         230.646641
       [4, 3]     [4, -4]              [[4, 3], 2, [2, 0], -2, [4, -4]]         280.766260
       [4, 2]     [4, -2]              [[4, 2], 1, [4, -1], 0, [4, -2]]         174.730577
       [4, 1]      [1, 1]                           [[4, 1], 1, [1, 1]]         252.283393
       [4, 2]          -2                      [[4, 2], 1, [2, -1], -2]         197.113882
       [4, 1]      [2, 2]                           [[4, 1], 1, [2, 2]]         132.420701
       [4, 1]     [2, -1]                          [[4, 1], 1, [2, -1]]         111.128098
       [4, 2]     [4, -3] [[4, 2], 1, [4, -1], 0, [4, -2], -1, [4, -3]]         271.562233
       [4, 1]      [3, 2]                           [[4, 1], 1, [3, 2]]         105.451152
       [4, 1]      [3, 1]                           [[4, 1], 0, [3, 1]]         176.398981
       [4, 2]     [3, -3]             [[4, 2], 1, [2, -1], -2, [3, -3]]         236.170982
       [4, 1]      [2, 0]                           [[4, 1], 2, [2, 0]]         142.570601
       [4, 2]     [4, -4]             [[4, 2], 1, [2, -1], -2, [4, -4]]         218.112082
       [4, 1]     [3, -1]                          [[4, 1], 1, [3, -1]]         223.395198
       [4, 1]     [2, -2]                          [[4, 1], 0, [2, -2]]         218.406068
       [4, 2]          -1          [[4, 2], 1, [4, -1], 0, [4, -2], -1]         247.509515
       [4, 1]      [1, 0]                           [[4, 1], 2, [1, 0]]         191.627467
       [4, 1]      [3, 3]                           [[4, 1], 1, [3, 3]]          99.380393
       [4, 1]      [3, 0]                           [[4, 1], 0, [3, 0]]         195.062369
       [4, 2]     [3, -2]             [[4, 2], 1, [2, -1], -2, [3, -2]]         244.683022
       [4, 1]      [4, 0]                           [[4, 1], 1, [4, 0]]          97.202502
       [4, 1]      [4, 3]                           [[4, 1], 2, [4, 3]]         102.642484
       [4, 1]           2                                   [[4, 1], 2]          68.735784
       [4, 1]      [4, 2]                           [[4, 1], 1, [4, 2]]         101.419544
       [4, 1]           0                                   [[4, 1], 0]         133.828252
       [4, 1]           1                                   [[4, 1], 1]          46.795666
       [4, 1]          -1                      [[4, 1], 0, [4, -2], -1]         235.268942
       [4, 1]     [3, -3]             [[4, 1], 1, [2, -1], -2, [3, -3]]         228.342770
       [4, 0]      [1, 1]                           [[4, 0], 0, [1, 1]]         233.534473
       [4, 1]     [1, -1]                          [[4, 1], 1, [1, -1]]         240.600076
       [4, 1]     [4, -1]                          [[4, 1], 1, [4, -1]]          87.422116
       [4, 1]      [2, 1]                           [[4, 1], 2, [2, 1]]         175.461927
       [4, 0]      [1, 0]                           [[4, 0], 2, [1, 0]]         198.110010
       [4, 1]      [4, 4]                           [[4, 1], 2, [4, 4]]         113.869684
       [4, 0]      [2, 2]                           [[4, 0], 1, [2, 2]]         136.031872
       [4, 1]     [4, -2]                          [[4, 1], 0, [4, -2]]         162.490005
       [4, 0]      [3, 3]                           [[4, 0], 1, [3, 3]]         102.991564
       [4, 0]      [2, 0]                           [[4, 0], 2, [2, 0]]         149.053144
       [4, 0]      [3, 0]                           [[4, 0], 0, [3, 0]]         129.549912
       [4, 0]     [2, -1]                          [[4, 0], 1, [2, -1]]         114.739269
       [4, 1]          -2                      [[4, 1], 1, [2, -1], -2]         189.285670
       [4, 0]     [2, -2]                          [[4, 0], 0, [2, -2]]         152.893611
       [4, 0]      [2, 1]                           [[4, 0], 2, [2, 1]]         181.944470
       [4, 1]     [3, -2]             [[4, 1], 1, [2, -1], -2, [3, -2]]         236.854809
       [4, 0]      [4, 2]                           [[4, 0], 1, [4, 2]]         105.030715
       [4, 0]      [3, 1]                           [[4, 0], 0, [3, 1]]         110.886524
       [4, 0]      [4, 1]                           [[4, 0], 1, [4, 1]]          97.202502
       [4, 0]     [4, -2]                          [[4, 0], 0, [4, -2]]          96.977548
       [4, 0]     [1, -1]                          [[4, 0], 1, [1, -1]]         244.211247
       [4, 1]     [4, -4]             [[4, 1], 1, [2, -1], -2, [4, -4]]         210.283870
       [4, 0]           2                                   [[4, 0], 2]          75.218326
       [4, 0]      [4, 4]                           [[4, 0], 2, [4, 4]]         120.352226
       [4, 0]           0                                   [[4, 0], 0]          68.315795
       [4, 0]           1                                   [[4, 0], 1]          50.406837
       [4, 0]          -1                      [[4, 0], 0, [4, -2], -1]         169.756485
       [4, 0]          -2                      [[4, 0], 1, [2, -1], -2]         192.896841
       [4, 0]      [3, 2]                           [[4, 0], 1, [3, 2]]         109.062323
       [4, 0]     [4, -1]                          [[4, 0], 1, [4, -1]]          91.033287
       [4, 0]      [4, 3]                           [[4, 0], 2, [4, 3]]         109.125026
       [4, 0]     [3, -1]                          [[4, 0], 0, [3, -1]]         203.800913
       [4, 1]     [4, -3]             [[4, 1], 0, [4, -2], -1, [4, -3]]         259.321661
      [4, -1]      [1, 1]                          [[4, -1], 0, [1, 1]]         216.037174
      [4, -1]      [2, 1]                          [[4, -1], 1, [2, 1]]         214.635780
      [4, -1]      [2, 0]                          [[4, -1], 0, [2, 0]]         166.795861
      [4, -1]      [3, 3]                          [[4, -1], 1, [3, 3]]          93.211177
      [4, -1]      [3, 1]                          [[4, -1], 0, [3, 1]]          93.389226
       [4, 0]     [4, -4]             [[4, 0], 1, [2, -1], -2, [4, -4]]         213.895041
      [4, -1]      [3, 0]                          [[4, -1], 0, [3, 0]]         112.052613
      [4, -1]     [3, -1]                         [[4, -1], 0, [3, -1]]         186.303614
      [4, -1]     [2, -1]                         [[4, -1], 1, [2, -1]]         104.958882
      [4, -1]     [2, -2]                         [[4, -1], 0, [2, -2]]         135.396313
      [4, -1]      [2, 2]                          [[4, -1], 1, [2, 2]]         126.251486
      [4, -1]      [3, 2]                          [[4, -1], 1, [3, 2]]          99.281936
       [4, 0]     [3, -2]             [[4, 0], 0, [4, -2], -1, [3, -2]]         229.142001
      [4, -1]      [4, 1]                          [[4, -1], 1, [4, 1]]          87.422116
      [4, -1]     [3, -2]            [[4, -1], 0, [4, -2], -1, [3, -2]]         211.644703
      [4, -1]     [4, -3]            [[4, -1], 0, [4, -2], -1, [4, -3]]         176.311905
       [4, 0]     [3, -3]             [[4, 0], 1, [2, -1], -2, [3, -3]]         231.953941
      [4, -1]      [4, 3]               [[4, -1], 1, [4, 2], 2, [4, 3]]         174.710128
      [4, -1]           1                                  [[4, -1], 1]          40.626450
      [4, -1]           0                                  [[4, -1], 0]          50.818496
      [4, -1]      [4, 0]                          [[4, -1], 1, [4, 0]]          91.033287
      [4, -1]      [1, 0]               [[4, -1], 1, [4, 2], 2, [1, 0]]         263.695112
      [4, -1]     [4, -2]                         [[4, -1], 0, [4, -2]]          79.480249
      [4, -2]      [1, 1]                          [[4, -2], 0, [1, 1]]         193.880430
      [4, -1]     [4, -4]            [[4, -1], 1, [2, -1], -2, [4, -4]]         204.114654
      [4, -2]     [1, -1]                        [[4, -2], -1, [1, -1]]         251.004554
      [4, -2]      [2, 2]                          [[4, -2], 0, [2, 2]]         162.754570
      [4, -2]      [2, 1]                         [[4, -2], -1, [2, 1]]         188.962876
      [4, -2]      [2, 0]                          [[4, -2], 0, [2, 0]]         144.639118
      [4, -2]     [2, -2]                         [[4, -2], 0, [2, -2]]         113.239569
      [4, -1]          -1                     [[4, -1], 0, [4, -2], -1]         152.259186
      [4, -2]      [3, 2]                          [[4, -2], 0, [3, 2]]          93.319667
      [4, -2]      [3, 1]                          [[4, -2], 0, [3, 1]]          71.232482
      [4, -1]     [1, -1]                         [[4, -1], 1, [1, -1]]         234.430860
      [4, -1]     [3, -3]            [[4, -1], 1, [2, -1], -2, [3, -3]]         222.173554
      [4, -2]     [3, -1]                        [[4, -2], -1, [3, -1]]         118.108247
      [4, -2]     [3, -2]                        [[4, -2], -1, [3, -2]]         132.164454
      [4, -1]           2                       [[4, -1], 1, [4, 2], 2]         140.803428
      [4, -1]      [4, 2]                          [[4, -1], 1, [4, 2]]          95.250328
      [4, -2]     [2, -1]             [[4, -2], 0, [4, -1], 1, [2, -1]]         184.439131
      [4, -1]          -2                     [[4, -1], 1, [2, -1], -2]         183.116454
      [4, -2]      [4, 0]                          [[4, -2], 0, [4, 0]]          96.977548
       [4, 0]     [4, -3]             [[4, 0], 0, [4, -2], -1, [4, -3]]         193.809204
      [4, -2]     [4, -3]                        [[4, -2], -1, [4, -3]]          96.831656
      [4, -2]      [3, 0]                          [[4, -2], 0, [3, 0]]          89.895869
      [4, -2]     [3, -3]                        [[4, -2], -1, [3, -3]]         181.333687
      [4, -2]      [4, 1]                          [[4, -2], 0, [4, 1]]         162.490005
      [4, -2]           0                                  [[4, -2], 0]          28.661752
      [4, -2]          -1                                 [[4, -2], -1]          72.778937
      [4, -2]          -2                    [[4, -2], -1, [3, -2], -2]         179.733593
      [4, -2]     [4, -1]                         [[4, -2], 0, [4, -1]]          79.480249
      [4, -2]      [4, 2]              [[4, -2], 0, [4, -1], 1, [4, 2]]         174.730577
      [4, -2]           2                       [[4, -2], 0, [4, 0], 2]         172.195874
      [4, -2]     [4, -4]           [[4, -2], -1, [3, -2], -2, [4, -4]]         200.731793
      [4, -3]      [2, 1]                         [[4, -3], -1, [2, 1]]         140.236657
      [4, -3]      [2, 0]                         [[4, -3], -1, [2, 0]]         167.087149
      [4, -2]      [1, 0]               [[4, -2], 0, [4, 0], 2, [1, 0]]         295.087558
      [4, -3]     [2, -2]                        [[4, -3], -1, [2, -2]]         123.179302
      [4, -3]     [1, -1]                        [[4, -3], -1, [1, -1]]         202.278336
      [4, -2]           1                      [[4, -2], 0, [4, -1], 1]         120.106699
      [4, -3]      [3, 1]                         [[4, -3], -1, [3, 1]]         121.579921
      [4, -3]      [3, 0]                         [[4, -3], -1, [3, 0]]          69.306493
      [4, -2]      [4, 3]               [[4, -2], 0, [4, 0], 2, [4, 3]]         206.102574
      [4, -3]     [3, -1]                        [[4, -3], -1, [3, -1]]          69.382029
      [4, -3]     [3, -3]                        [[4, -3], -1, [3, -3]]         132.607468
      [4, -3]     [2, -1]           [[4, -3], -1, [3, -2], -2, [2, -1]]         209.164947
      [4, -3]      [1, 1]                         [[4, -3], -1, [1, 1]]         286.627298
      [4, -3]     [3, -2]                        [[4, -3], -1, [3, -2]]          83.438235
      [4, -1]      [4, 4]               [[4, -1], 1, [4, 2], 2, [4, 4]]         185.937328
      [4, -2]      [3, 3]              [[4, -2], 0, [4, -1], 1, [3, 3]]         172.691426
      [4, -3]     [4, -1]            [[4, -3], -1, [4, -2], 0, [4, -1]]         176.311905
      [4, -3]     [4, -2]                        [[4, -3], -1, [4, -2]]          96.831656
      [4, -3]      [4, 0]             [[4, -3], -1, [4, -2], 0, [4, 0]]         193.809204
      [4, -3]      [1, 0]            [[4, -3], -1, [3, -2], -2, [1, 0]]         327.604786
      [4, -3]           1         [[4, -3], -1, [4, -2], 0, [4, -1], 1]         216.938355
      [4, -3]      [3, 2]             [[4, -3], -1, [4, -2], 0, [3, 2]]         190.151323
      [4, -3]          -1                                 [[4, -3], -1]          24.052719
      [4, -3]          -2                    [[4, -3], -1, [3, -2], -2]         131.007375
      [4, -3]           2                      [[4, -3], -1, [2, 0], 2]         240.921966
      [4, -4]      [1, 0]                         [[4, -4], -2, [1, 0]]         217.595611
      [4, -3]      [4, 2] [[4, -3], -1, [4, -2], 0, [4, -1], 1, [4, 2]]         271.562233
      [4, -3]           0                     [[4, -3], -1, [4, -2], 0]         125.493409
      [4, -3]      [4, 1]             [[4, -3], -1, [4, -2], 0, [4, 1]]         259.321661
      [4, -4]      [2, 0]                         [[4, -4], -2, [2, 0]]         173.024743
      [4, -4]     [2, -1]                        [[4, -4], -2, [2, -1]]          99.155772
      [4, -4]     [2, -2]                        [[4, -4], -2, [2, -2]]         117.447973
      [4, -4]      [2, 1]            [[4, -4], -2, [3, -2], -1, [2, 1]]         244.136794
      [4, -3]      [4, 3]              [[4, -3], -1, [2, 0], 2, [4, 3]]         274.828666
      [4, -3]     [4, -4]           [[4, -3], -1, [3, -2], -2, [4, -4]]         152.005575
      [4, -4]     [1, -1]                        [[4, -4], -2, [1, -1]]         192.427971
      [4, -4]     [3, -1]                        [[4, -4], -2, [3, -1]]          87.498018
      [4, -4]     [3, -2]                        [[4, -4], -2, [3, -2]]          68.567339
      [4, -4]     [3, -3]                        [[4, -4], -2, [3, -3]]          60.055300
      [4, -4]      [3, 3]             [[4, -4], -2, [2, -1], 1, [3, 3]]         216.072931
      [4, -2]      [4, 4]               [[4, -2], 0, [4, 0], 2, [4, 4]]         217.329774
      [4, -4]      [3, 1]            [[4, -4], -2, [3, -2], -1, [3, 1]]         225.480058
      [4, -3]      [4, 4]              [[4, -3], -1, [2, 0], 2, [4, 4]]         286.055866
      [4, -4]      [4, 1]             [[4, -4], -2, [2, -1], 1, [4, 1]]         210.283870
      [4, -4]      [3, 0]            [[4, -4], -2, [3, -2], -1, [3, 0]]         173.206630
      [4, -4]      [4, 2]             [[4, -4], -2, [2, -1], 1, [4, 2]]         218.112082
      [4, -4]     [4, -1]            [[4, -4], -2, [2, -1], 1, [4, -1]]         204.114654
      [4, -3]      [3, 3] [[4, -3], -1, [4, -2], 0, [4, -1], 1, [3, 3]]         269.523082
      [4, -4]           1                     [[4, -4], -2, [2, -1], 1]         163.488204
      [4, -4]           0                     [[4, -4], -2, [2, -2], 0]         202.025789
      [4, -4]      [4, 3]              [[4, -4], -2, [2, 0], 2, [4, 3]]         280.766260
      [4, -4]          -2                                 [[4, -4], -2]          20.998200
      [4, -4]      [4, 0]             [[4, -4], -2, [2, -1], 1, [4, 0]]         213.895041
            2      [1, 0]                                   [2, [1, 0]]         122.891684
      [4, -4]          -1                    [[4, -4], -2, [3, -2], -1]         127.952856
            2      [2, 2]                                   [2, [2, 2]]         130.121335
            2      [2, 1]                                   [2, [2, 1]]         106.726143
            2      [2, 0]                                   [2, [2, 0]]          73.834817
      [4, -4]      [3, 2]             [[4, -4], -2, [2, -1], 1, [3, 2]]         222.143690
      [4, -4]     [4, -3]           [[4, -4], -2, [3, -2], -1, [4, -3]]         152.005575
      [4, -4]      [2, 2]             [[4, -4], -2, [2, -1], 1, [2, 2]]         249.113240
            2      [3, 2]                        [2, [4, 2], 1, [3, 2]]         158.832464
            2      [3, 1]                        [2, [4, 0], 0, [3, 1]]         186.104851
            2     [2, -2]                       [2, [4, 0], 0, [2, -2]]         228.111938
            2      [3, 0]                                   [2, [3, 0]]         191.750405
      [4, -4]           2                      [[4, -4], -2, [2, 0], 2]         246.859560
      [4, -4]     [4, -2]           [[4, -4], -2, [3, -2], -1, [4, -2]]         200.731793
            2      [4, 4]                                   [2, [4, 4]]          45.133900
            2      [4, 3]                                   [2, [4, 3]]          33.906700
            2      [4, 2]                                   [2, [4, 2]]          45.553100
            2      [4, 1]                                   [2, [4, 1]]          68.735784
      [4, -3]      [2, 2]             [[4, -3], -1, [4, -2], 0, [2, 2]]         259.586227
            2     [1, -1]                       [2, [4, 2], 1, [1, -1]]         293.981389
            2     [2, -1]                       [2, [4, 2], 1, [2, -1]]         164.509410
      [4, -4]      [1, 1]             [[4, -4], -2, [2, -2], 0, [1, 1]]         367.244466
            2      [4, 0]                                   [2, [4, 0]]          75.218326
            2           1                                [2, [4, 2], 1]         100.176978
            2      [1, 1]                        [2, [4, 2], 1, [1, 1]]         305.664706
            2      [3, 3]                        [2, [4, 2], 1, [3, 3]]         152.761706
            2           0                                [2, [4, 0], 0]         143.534122
            2     [4, -1]                       [2, [4, 2], 1, [4, -1]]         140.803428
            2     [3, -3]                      [2, [2, 0], -2, [3, -3]]         264.918460
            1      [1, 0]                        [1, [4, 2], 2, [1, 0]]         223.068662
            1     [1, -1]                                  [1, [1, -1]]         193.804410
            1      [2, 2]                                   [1, [2, 2]]          85.625036
            2     [4, -2]                       [2, [4, 0], 0, [4, -2]]         172.195874
            1     [2, -1]                                  [1, [2, -1]]          64.332432
      [4, -4]      [4, 4]              [[4, -4], -2, [2, 0], 2, [4, 4]]         291.993460
            1      [3, 3]                                   [1, [3, 3]]          52.584727
            1      [3, 2]                                   [1, [3, 2]]          58.655486
            1      [3, 1]                       [1, [4, -1], 0, [3, 1]]         134.015675
            1     [2, -2]                      [1, [4, -1], 0, [2, -2]]         176.022763
            1      [1, 1]                                   [1, [1, 1]]         205.487727
            2          -1                               [2, [2, 0], -1]         216.869247
            1      [2, 1]                                   [1, [2, 1]]         174.009330
