X: -0.14148, Y: 0.26630, Z: 0.49982
X: -0.14185, Y: 0.26373, Z: 0.49933
X: -0.14124, Y: 0.26544, Z: 0.49860
X: -0.14215, Y: 0.26508, Z: 0.50085
X: -0.14148, Y: 0.26410, Z: 0.49921
X: -0.14185, Y: 0.26685, Z: 0.49731
X: -0.14221, Y: 0.26672, Z: 0.49762
X: -0.14240, Y: 0.26489, Z: 0.49670
X: -0.14264, Y: 0.26459, Z: 0.49982
X: -0.14209, Y: 0.26575, Z: 0.50006
X: -0.14154, Y: 0.26715, Z: 0.49890
X: -0.14258, Y: 0.26611, Z: 0.50159
X: -0.14276, Y: 0.26691, Z: 0.49890
X: -0.14221, Y: 0.26617, Z: 0.49677
X: -0.14185, Y: 0.26605, Z: 0.49921
X: -0.14191, Y: 0.26520, Z: 0.49933
X: -0.14258, Y: 0.26526, Z: 0.49957
X: -0.14221, Y: 0.26526, Z: 0.49854
X: -0.14313, Y: 0.26587, Z: 0.50110
X: -0.14246, Y: 0.26276, Z: 0.49890
X: -0.14233, Y: 0.26624, Z: 0.50049
X: -0.14252, Y: 0.26666, Z: 0.50043
X: -0.14148, Y: 0.26532, Z: 0.50043
X: -0.14301, Y: 0.26709, Z: 0.49988
X: -0.14160, Y: 0.26685, Z: 0.49976
X: -0.14197, Y: 0.26660, Z: 0.50140
X: -0.14185, Y: 0.26770, Z: 0.50110
X: -0.14166, Y: 0.26575, Z: 0.50110
X: -0.14215, Y: 0.26556, Z: 0.49921
X: -0.14252, Y: 0.26532, Z: 0.49982
X: -0.14178, Y: 0.26617, Z: 0.49963
X: -0.14209, Y: 0.26489, Z: 0.50098
X: -0.14233, Y: 0.26544, Z: 0.49921
X: -0.14191, Y: 0.26501, Z: 0.50067
X: -0.14233, Y: 0.26526, Z: 0.49957
X: -0.14270, Y: 0.26483, Z: 0.50012
X: -0.14264, Y: 0.26660, Z: 0.49884
X: -0.14337, Y: 0.26691, Z: 0.49921
X: -0.14215, Y: 0.26624, Z: 0.49884
X: -0.14221, Y: 0.26630, Z: 0.49799
X: -0.14246, Y: 0.26562, Z: 0.49854
