nan,5.633004751077499289e-02,5.500119478279846819e-02,5.187848080590140576e-02,3.406898756022592317e-02
7.523886661579341772e-02,2.456870550781930715e-02,9.601075075347400775e-03,3.360216783549976882e-02,5.602355730052935995e-02
5.299375129610787299e-02,5.980172592226384171e-02,4.697386032007082324e-02,3.553263633448944941e-02,nan
nan,nan,1.103098947112623462e-01,1.061388054051298213e-01,8.193402454732974516e-02
nan,1.273236671021714950e-01,2.753896379713954845e-02,6.123832480411307844e-02,9.809532570543373631e-02
9.731502042263578955e-02,6.350490691885116168e-02,9.191521123370857693e-02,2.582484104807413611e-02,9.322815977620832473e-02
1.162627313621449471e-01,2.818304948370163945e-02,5.749881724418402784e-02,1.070092374388781631e-01,nan
1.104879178132668338e-01,1.056060639579294580e-01,8.140380405452915524e-02,nan,nan
nan,nan,nan,2.813441751966799242e-01,9.067747560117120353e-03
nan,nan,2.288240081645825930e-01,1.549131268711606557e-01,4.149976893296503794e-02
nan,1.517150477697920552e-01,2.134659674112868721e-01,6.967118690839622930e-02,4.457926041423365682e-02
7.630569274248862055e-02,2.008269706422386447e-01,1.740429988434752107e-01,3.051719236366631175e-03,3.589188575856863683e-02
1.366766566674024741e-01,2.351367620905512601e-01,7.723537256463715306e-02,3.897710370760436999e-02,nan
2.240873450406272449e-01,1.762457782267005113e-01,1.058338308810728538e-02,nan,nan
2.680117280966614612e-01,6.339099926396261908e-02,nan,nan,nan
nan,nan,nan,nan,3.277942927159632203e-01
nan,nan,nan,8.277672320979839737e-02,2.680230088884904549e-01
nan,nan,1.957453050520494529e-03,1.663880456606059988e-01,2.339825437638817507e-01
nan,2.500298859282700306e-02,6.792685590793784423e-02,2.277886355933098905e-01,1.522779674543001949e-01
2.315514355458560269e-02,9.706816855729609624e-04,1.560502926657271749e-01,2.076631654672911054e-01,9.149570184583344368e-02
3.087733491945000852e-02,5.935838945185349658e-02,2.059965357601991343e-01,1.694096438417128092e-01,nan
2.757766843227327583e-02,1.438530919667144747e-01,2.401412073890958065e-01,nan,nan
9.395261683160849309e-03,2.861704100734954737e-01,nan,nan,nan
3.277942927159632203e-01,nan,nan,nan,nan
