nan,2.723256590115131530e+02,1.809944426743561507e+02,2.267595382530647043e+02,3.644422748279549751e+02
2.038855448056629314e+02,4.051866140431385475e+02,1.225273238725406145e+03,3.695053065718183234e+02,1.386630431445703664e+02
1.878506494192542959e+02,1.967157330560761466e+02,2.643210339310541030e+02,2.186270917234273838e+02,nan
nan,nan,1.390638378422408437e+02,9.379143243735038027e+01,1.435782071954876642e+02
nan,1.204812715471970819e+02,3.614845739827844682e+02,1.921009496985220721e+02,1.265725888389223570e+02
1.576336031570465082e+02,1.567581322315306238e+02,1.279868717584193121e+02,4.807843465297905823e+02,8.332672190165975223e+01
8.562426221630661871e+01,4.174119042589699689e+02,2.159379952948497419e+02,7.259557332620735792e+01,nan
1.064726404990150712e+02,1.175707043913718621e+02,9.543039214570211470e+01,nan,nan
nan,nan,nan,5.452438210173640698e+01,1.097837200488600047e+03
nan,nan,6.703893281813421368e+01,6.426124626879224877e+01,2.834700205637068393e+02
nan,1.011113764654267442e+02,4.663464962054627705e+01,1.688494322378047912e+02,2.785191861004873886e+02
2.010350310597461601e+02,4.956959000228309264e+01,6.759214924466182595e+01,4.068585071514214633e+03,2.164388072371212104e+02
7.283548514331320689e+01,5.003020475499439357e+01,1.607576802603381907e+02,1.993066750508712630e+02,nan
5.249712048970846467e+01,7.044809499813048603e+01,7.340183076057298877e+02,nan,nan
4.632699999999999818e+01,1.225473179674562658e+02,nan,nan,nan
nan,nan,nan,nan,4.679800000000000182e+01
nan,nan,nan,1.853192143356771169e+02,3.714200000000000301e+01
nan,nan,7.836774070490553640e+03,5.982948207975277910e+01,5.027700000000000102e+01
nan,6.135313486053624956e+02,1.465533839756742793e+02,5.164410560770831893e+01,8.153628220221830247e+01
6.624928614395793147e+02,1.025558712407380153e+04,7.538557058663151622e+01,5.978999356768304807e+01,8.490450137390112673e+01
3.224018725095861555e+02,1.981849652837800591e+02,6.027372878730216854e+01,4.585569491152453026e+01,nan
4.265748709578984403e+02,8.631152210761628396e+01,3.234928743607356694e+01,nan,nan
1.321536296300036383e+03,2.714605238564148237e+01,nan,nan,nan
2.369900000000000162e+01,nan,nan,nan,nan
