20250422_1309,610.141429,611.427792,611.621097,1.286363,1.479669
20250422_1318,610.15137,611.428747,611.622261,1.277376,1.470891
20250422_1327,610.151903,611.429762,611.622785,1.277859,1.470882
20250422_1336,610.151803,611.429797,611.622585,1.277995,1.470782
20250422_1345,610.141695,611.428911,611.622257,1.287216,1.480562
20250422_1354,610.141696,611.429305,611.62255,1.287609,1.480854
20250422_1403,610.151346,611.430261,611.623203,1.278915,1.471857
20250422_1412,610.160603,611.430681,611.623522,1.270079,1.46292
20250422_1422,610.151401,611.430346,611.622454,1.278945,1.471052
20250422_1431,610.151638,611.430263,611.62349,1.278625,1.471852
20250422_1442,610.151519,611.430819,611.62415,1.2793,1.472631
20250422_1452,610.151782,611.430606,611.623327,1.278824,1.471545
20250422_1503,610.151395,611.430718,611.62354,1.279323,1.472145
